	gene	pops
181	MNN4	P2F02;P3G05;P3G02;P2D06;P2C06;P2C06;P2C06
182	ASH1	P2F02;P1E04;P2D06
183	KKQ8	P2F02;P3G02;P3C05;P3F09
184	MSN4	P2F02
185	DYN1	P2F02;P1B02;P1G05;P3C05;P2E06;P2D08;P2C06;P1D03
186	PTR2	P2F02;P1C05;P1C02;P2G05;P1B03;P1G11;P1C07
187	MLP1	P2F02;P3F11;P1B02;P3D03;P1B04;P3F03;P1C09;P2G04;P2D06;P1F05;P2G09
188	ESL2	P2F02;P2F02;P1C02;P2D03;P2B04;P2G05;P2G05;P1C08;P3C04;P3D03;P1G05;P1B04;P2D06;P2C02
189	MMP1	P2F02;P3F05;P2G09
190	IRC19	P2F02;P3E02
191	LAM6	P2F02;P3F11;P3D05;P1D03
192	REA1	P2F02;P1C05;P2D03;P3B07;P3C03;P3C04;P1G04;P1B04;P1B04;P1E04;P1E04;P2B05;P2B05;P2E06;P2G04;P2C05;P1F05;P2C06;P1D03;P1D03
193	NHA1	P2F02;P1C06;P3C03
194	ACF2	P2F02;P1C02;P3C05
195	UPS2	P2F02
196	IFH1	P2F02;P1C05;P3C07
197	CSC1	P2F02;P3D10;P1E11;P3G10;P3F09
198	HAP1	P2F02;P2B04;P3F05;P3B08;P3D05
199	ATG23	P2F02;P3C03
200	PRE8	P2F02
201	POB3	P2F02;P3G05;P3F05;P2D06
202	YAP1	P2F02;P3D09;P2G05;P3F09;P3B11;P1C04
203	EIS1	P2F02;P2C04;P3F05;P1G11;P2F07
204	IOC4	P2F02;P3C11;P2G04
205	POM152	P2F02;P1E09
206	HSC82	P2F02
207	HFA1	P2F02;P2B07;P3E11;P2C02
208	ESC1	P2F02;P3G05;P2C04;P2B04;P3C03;P3D10;P2D06
209	RRP5	P2F02;P2F02;P1C06;P1G09;P2B04;P2G11;P3C11;P1C07;P2C06
210	RIT1	P2F02;P2B07;P2B11;P2B11
211	HAS1	P2F02;P3F05
212	MDJ2	P2F02
213	CAF40	P2F02
214	SLA2	P2F02;P2G10;P2E11;P2D06;P1F11;P3E02;P3E02
215	ATG2	P2F02;P3C07;P2B11;P3F03;P3D05;P3D05;P3F09;P1D03;P2C02
216	KEX2	P2F02;P3B07;P3C07;P3C07
217	SQS1	P2F02;P1C06;P1C06;P3C05;P2C05
218	CYB5	P2F02;P3E11
219	LEU4	P2F02;P1C05;P3C05
220	NOP2	P2F02;P2F02;P2F02;P2B08;P2C06
221	POR1	P2F02
222	DOM34	P2F02;P1G05;P1B04
223	BRE5	P2F02;P3C04
224	ALR1	P2F02;P2G05;P1C07
225	SKM1	P2F02
226	YPQ1	P2F02;P2G10
227	DUF1	P2F02
228	AVO1	P2F02;P3G05;P1G05
229	HIR2	P2F02;P3D09;P2G04;P2C06
230	CUE5	P2F02;P1B02
231	RAT1	P2F02
232	YNG1	P2F02;P3G11;P3E02
233	GYP1	P2F02;P2B04;P2G05;P1F08
234	NUP1	P2F02;P3E02;P2C06;P2C02
235	KTR1	P2F02
236	RAS1	P2F02;P2C02
237	INP53	P2F02;P3C03;P3C03;P1G10;P1B03;P2G09
238	RPB2	P2F02;P2D08;P2D06;P3E11
239	PNS1	P2F02;P3B08
240	MSB1	P2F02;P2G08;P3D10;P2G04;P2C05
241	MRM1	P2F02;P1F11
242	MOD5	P2F02;P3F07
243	MYO2	P2F02;P3G02;P3B10;P2B04;P1C09
244	RPA190	P2F02;P1C02;P3G06;P1C04
245	PRE10	P2F02;P1G04
246	GPB1	P2F02;P2F02;P1F10;P3C04;P3C05;P1C09;P2C05;P2C05;P2C06;P1C04
247	GYP5	P2F02;P3G05;P1C02;P2C04
248	RPL21B	P2F02
249	GCR1	P2F02
250	PMA2	P2F02;P2C04;P1G09;P1G10;P1C04
251	SRL4	P2F02;P1C06;P1F11
252	HAA1	P2F02;P2G10
253	ATH1	P2F02;P3C03;P3E08
254	VMA13	P2F02;P2F02;P1G04
255	MRI1	P2F02
256	GPB2	P1C05;P1E11;P3D02;P3C05;P1B04;P3F07;P1H11;P3E11;P2C06
257	AIM2	P1C05;P2E06
258	CDC24	P1C05;P3G05;P2G10
259	NTG1	P1C05;P2C10
260	FLO1	P1C05;P3D09;P3C10;P2G11;P2G11;P3D02;P2E11
261	ILS1	P1C05;P3G05;P3C04;P2C11;P2C11
262	RPS8A	P1C05
263	UTP20	P1C05;P2C05;P1C07;P1F05
264	CYC8	P1C05;P3D09;P3G11;P3F07
265	YBR112C;YBR112C	P1C05
266	ATG42	P1C05
267	TBS1	P1C05;P1C05;P2D03;P1G09;P2G05;P3D03;P1G04;P2E11;P2G04;P2C06;P2C02
268	SWC5	P1C05;P2C04;P2B11
269	HEM3	P1C05;P3F09
270	MGT1	P1C05
271	BDF2	P1C05
272	GPM2	P1C05;P2G08;P2C06
273	STE5	P1C05;P1C11;P1B11;P3C10;P1G04;P3D11;P2B11;P1G11;P3E11;P2C11
274	YAP6	P1C05;P1F07
275	MSN5	P1C05;P2D03;P2D11
276	SIZ1	P1C05;P3G05;P2G05;P3C03;P2G11;P3F05;P2B05;P1D03
277	SAM2	P1C05;P3D02;P1B04;P2C02
278	BMH1	P1C05
279	EPL1	P1C05;P3D09;P3G02
280	ROG3	P1C05
281	ADE6	P1C05;P3G05;P2D03;P2C04;P1G09;P3G11;P1F10;P2B04;P1B02;P2G05;P3C03;P3C04;P3D11;P3D11;P3C05;P2B11;P1B04;P1B04;P1B03;P2B05;P2E11;P1H11;P1B07;P1G11;P3C11;P2G04;P1C07;P2D06;P2D06;P3F09;P3B11;P2C06;P2C02
282	COX18	P1C05
283	CHO2	P1C05;P2C04;P1G04
284	GTR2	P1C05;P2C06
285	HIP1	P1C05;P1C06;P1G04;P1E04;P1E04;P1D03;P1C04
286	YTA7	P1C05;P3C04;P3D03;P2F09;P2G04;P3B11;P1E09
287	YOR1	P1C05;P3D09;P1C02
288	VMA10	P1C05
289	TRA1	P1C05;P2D03;P2C04;P1F07;P3C10;P3C05;P3C11;P2C05;P1F11;P1D03
290	MTC6	P1C05;P1B02;P3E08
291	LAM1	P1C05;P3D11;P3C11;P2G04
292	SRS2	P1C05;P3D09;P2D03;P3G06;P3F11;P3F11;P3C07;P3C10;P3D03;P3D10;P3F05;P3D02;P3C05;P3C05;P3E08;P1B03;P3F03;P3D05;P3G09;P3C11;P2G04;P2D06;P3F09;P3E11;P3E02;P2C06;P1C04
293	TPH3	P1C05;P3D03
294	NNK1	P1C05;P3E08;P1E04;P2B05;P3E02
295	CSE4	P1C05;P3G11
296	MAE1	P1C05;P1B11;P1B02;P1G04;P1G05;P1G05;P1B04;P1B03;P1F05;P1D03;P1C04
297	SET3	P1C05;P3F09
298	SPA2	P1C05;P3B07;P1D09;P3C05;P3C05
299	PUF3	P1C05;P3G02;P2G11;P2E06;P1F11
300	SHM2	P1C05;P2D03;P1G10;P2C11
301	BMT6	P1C05;P2G05;P2E11
302	SKG3	P1C05;P1C02;P2C02
303	COA4	P1C05;P1C05;P2B04;P1E11
304	UTP13	P1C05;P1G04;P1F05
305	ATG39	P1C05;P3F05;P1C04
306	AFG2	P1C05;P3G11;P3D10
307	VIP1	P1C05;P3D03;P3C05;P1F08;P1E04;P2E06;P1C07;P3B11;P3E02;P1C04
308	PIF1	P1C05;P1C04
309	TRS130	P1C05;P1C05;P2D03;P2D03;P2C04;P1G04;P1F08;P3D05;P2G04
310	MRE11	P1C05;P2B04;P2C05;P2E08
311	TRF5	P1C05
312	SRV2	P1C05
313	MLS1	P1C05
314	HRT1	P1C05
315	RSB1	P1C05;P1G05
316	YOR212W;YOR212W	P1C05
317	HNT3	P1C05;P2G09
318	MUM3	P1C05;P3F03;P3E02
319	IQG1	P1C05;P2B04;P2G05;P1G05;P3C05;P2E06;P2E06;P2E06;P3G10
320	EAF3	P1C05
321	NVJ2	P1C05;P2D03
322	CTF4	P1C05;P3D09;P3F03
323	SEF1	P2G08;P3B10;P1B11;P3F03;P1E09
324	MNN2	P2G08;P3D09;P3F07
325	IST2	P2G08;P2G05;P3D02;P1E04
326	ILV6	P2G08;P1F05
327	TUP1	P2G08;P2C10;P2D03;P2B04;P2G05
328	PUS9	P2G08;P3C07;P2G11
329	KCS1	P2G08
330	MRH1	P2G08
331	SEC7	P2G08;P3G02;P1B02;P1G04;P2C05;P3E11
332	SCC2	P2G08;P3F05;P1G05;P2C11;P1D03;P1C04;P1C04
333	YPR1	P2G08;P3D09
334	ESL1	P2G08;P1C06;P3G06;P3C07;P3D10;P1C07;P3E11;P1C04
335	RNR3	P2G08;P1E04
336	FLO11	P2G08;P3D09;P3G02;P3B10;P3C07;P3C03;P1G10;P2G04;P3E02
337	MAK10	P2G08;P3E02
338	AFG1	P2G08
339	PAC2	P2G08
340	DOT6	P2G08;P1G09;P2G11;P1D09
