plate	Well	Gen70_s_zeroed	Gen550_s_zeroed	Gen1410_s_zeroed	Gen2640_s_zeroed	Gen3630_s_zeroed	Gen5150_s_zeroed	Gen7530_s_zeroed	Gen10150_s_zeroed	platewell	contam	strain	genes_fixed_10K	focal
P1	A01									P1A01				False
P1	A02									P1A02				False
P1	A03	0.12529135960773766	0.15455106194384885	0.17462311419535884	0.1983957632181668	0.21105970402647925	0.1997474031592804	0.21263772287029975	0.21198089991123226	P1A03				False
P1	A04	0.12576767294466673	0.14469517775884272	0.1827593664782962	0.1995908243093311	0.217001662879637	0.21012579832264927	0.2513820029683701	0.2317817351591997	P1A04				False
P1	A05	0.12262793128292653	0.15856650092045124	0.17835630528527185	0.2001658907107289	0.20905545663399205	0.2101676819347452	0.22948408526446826	0.22570117263794665	P1A05				False
P1	A06	0.1768052813794859	0.20568116404410752	0.2180591295232734	0.2311786432909739	0.22657255557808784	0.2365423697739989	0.2491262050758388	0.2556672050717925	P1A06				False
P1	A07									P1A07				False
P1	A08	-0.03377645664998452	0.01468664689686433	0.047639477138802185	0.07970398247013086	0.0927181440578681	0.11569880117942412	0.12868108707367604	0.1257525106517281	P1A08				False
P1	A09	0.017060872182670772	0.15019305979135736	0.1611896195291816	0.18391133369885213	0.20091259930264688	0.20405359057779227	0.2312395917932857	0.22365476879931856	P1A09				False
P1	A10									P1A10				False
P1	A11									P1A11				False
P1	A12									P1A12				False
P1	B01	0.13018186269900273	0.13844684504729182	0.1525545306681888	0.18755860422351686	0.19054653867781746	0.22692346960156576	0.25377425234279505	0.25190604677902256	P1B01				False
P1	B02	0.1404075418594623	0.13860347307266002	0.17351553418628807	0.20398444104624552	0.20758766296233805	0.1991934525378797	0.24222450379416044	0.2521372270478414	P1B02			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	B03	0.1380071159541694	0.1450434212443186	0.17824339537492898	0.19784197544982665	0.21351429515252088	0.2258000335182863	0.252889111416966	0.2549247118354871	P1B03			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	B04	0.13301372053967395	0.13578513291398334	0.17010975047612895	0.18896723946512656	0.20437290605615846	0.2081436929582081	0.22936760798545314	0.22543411451148426	P1B04			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	B05	0.12650510168038334	0.14185540930398122	0.1656841480822119	0.18848085756477015	0.2112421225797988	0.2135967484079104	0.2647402103224608	0.2712460116976634	P1B05				False
P1	B06	0.1242807969425446	0.15659490057740438	0.17850971549345693	0.1900868537490248	0.2192417913641553	0.21535431105241554	0.2353613347910841	0.24228185105277344	P1B06				False
P1	B07	-0.024413449791713168	0.13431781910646887	0.16786552749484668	0.18968145283190074	0.20453782763203407	0.20824814213571186	0.2262687939585981	0.2391280661558227	P1B07			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	B08									P1B08				False
P1	B09									P1B09				False
P1	B10	-0.026128224272830097	0.006898966356433943	0.14213433337977616	0.16722611896547065	0.19324686981062436	0.19384866787085187	0.21229281138728945	0.2147068403480831	P1B10				False
P1	B11	0.0	0.1596948970947327	0.17949332591570108	0.19749929635341112	0.20240610432228426	0.2052893007230834	0.23123970864574775	0.22972275403993644	P1B11			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	B12	-0.03043792192390324	0.029459315808307737	0.13157390133520278	0.1637023041597297	0.16496312958226286	0.18323768820970932	0.20572923859086134	0.20302290384768973	P1B12				False
P1	C01	0.13548211752464806	0.13797225650374398	0.17153094737937985	0.19158130026022407	0.2001488868357306	0.18954330058593868	0.2221247469400888	0.20548420264884698	P1C01				False
P1	C02	0.1288327396278949	0.14889377719192054	0.18021008086049065	0.19641904107309205	0.1981285606613008	0.21005464076635136	0.23261798981025225	0.22862041361919655	P1C02			ADE6;FKH2;YNR065C;CAF130;CAT8;SLM2;MYO1;KIN2;UBP10;YBR225W;MNN14;PUT3;EBS1;SPT2;CYC8;CSE4;AFG2;SLD3;YHR217C;FAS2;PSK1;STP22;PAN1;PEX30;CTR9;ADP1;SVF1;NUP157;SGV1;ERV29;YNL095C;SNU71;HIR3;R0020C;ADY3;STE12;YBL070C;DUG2;KTR7;PDR10;RVB2;KIP2;HKR1;SLI1;HSL1;ATO3;URB2;MRX6;HXT3;EMW1;URC2;PRP3;FUI1;YNG1;PKC1;NNF2;CBS2;YNL195C;PRM8;SSZ1;SDO1;ESF1;SKG6;RTT107;YLL032C;SDD3;PER33;INP52;ACS1;RCR1;HTL1;SDH6;TIF35;YER076C;YGL117W;YGR035C;CRP1;YKL091C;LHS1;ANR2;MAC1;JLP2;YNR014W;LPX1;NFI1;SAM3	True
P1	C03	0.1495383356430137	0.1600386717657014	0.16977484787029726	0.20062457966315173	0.21447963571688228	0.2269314644317043	0.2578048764799739	0.25710207080859104	P1C03				False
