plate	Well	Gen550_s_scaled	Gen1410_s_scaled	Gen5150_s_scaled	Gen10150_s_scaled	Gen70_s_scaled	Gen2640_s_scaled	Gen3630_s_scaled	Gen7530_s_scaled	plate.well	contam	strain	Genes_fixed_10K	focal
P3	A01	-0.018927244572064215	0.06635658919482952	-0.16206636428386534	0.13227025622458535	-0.15590858453358625	-0.07128381729964686	0.02423283294180463	0.07804674287677854	P3A01	blank	blank		False
P3	A02	-0.0366166227950069	0.09060525328834232			-0.09830386508155174	0.020799073871248446	0.023867204822580985	0.03106716743343665	P3A02	blank	blank		False
P3	A03									P3A03	blank	blank		False
P3	A04	-0.0558409873191607	-0.2154790921772653		0.3388970840012043	-0.08385953226103073			0.049113598586534864	P3A04	blank	blank		False
P3	A05	-0.0032117277569486194	0.03803062088185282			-0.04370632095651178	0.05439369068035437	0.12806064643399648	0.038542601579047486	P3A05	blank	blank		False
P3	A06	-0.027778417884314656	0.050018739177566336			0.019974817736290614	0.07234706785983744	0.13129235518572546		P3A06	blank	blank		False
P3	A07	0.01448723010811562	0.046445618390030696			-0.09499389967382277	0.04313313395829636	-0.0017150794515640234	0.06925552225035786	P3A07	blank	blank		False
P3	A08	-0.04395321577167095	0.03226987329016971			-0.0424938770652662		-0.1421592880686609	0.08102748303917884	P3A08	blank	blank		False
P3	A09	0.011403449636771666	-0.014355797315221762			-0.0712648409845066		-0.22152230938828174		P3A09	blank	blank		False
P3	A10	-0.005136862271629857	0.03011794149545452	-0.040687126044542256	-0.009437483217101798	0.0035292757354338233	-0.08207173640006214	-0.17243582272869035	-0.09943826878208932	P3A10	blank	blank		False
P3	A11	-0.062396762151973616	0.08739225889291173		-0.07233876844530307	-0.03833108010116256				P3A11	blank	blank		False
P3	A12	-0.06570324697730881	0.030077749957493537	-0.014368948639893126		0.19656826417277504	-0.2258620520498701	-0.2445941533670077	-0.09758309826911506	P3A12	blank	blank		False
P3	B01	-0.00899056651218625	0.004267830751454024	0.041379453115142996		-0.2431914353564616	0.0011687361811694096	0.02343229034855413	0.07880772508949987	P3B01	blank	blank		False
P3	B02	-0.02136626167952465	-0.004855552037199971			-0.1760113978480055				P3B02	blank	blank		False
P3	B03	-0.07164039080676851	0.01837308125903927			-0.2346365620251884				P3B03	blank	blank		False
P3	B04	-0.029443804535760044	0.0071147066214776455			-0.277443154388365				P3B04	blank	blank		False
P3	B05	-0.038591884768795805	-0.0026219372682022915			-0.19601820492839628				P3B05	blank	blank		False
P3	B06	-0.07029939243788183	-0.02343369697325581	0.043172197985202346	0.11320215352685087	-0.1219882861651636	-0.012807903374983984	0.04026567350530104	0.0911119294094233	P3B06	No	a		False
P3	B07	-0.012477209949699536	0.004785859726198612	0.05776489235670551	0.14769122123023498	-0.053985607192419946	0.003765327741920187	0.035366919718944345	0.1241815394835864	P3B07	No	diploid	R0020C:R0020C:TAT1:RDH54:FTH1:ADY3:YPD1:DHH1:RPO21:AHK1:NAT1:PDC2:HEM1:TFB1:PEP7:SEC20:SLF1:HPM1:NPP2:ARB1:MET6:GLC7:SMC2:YGL234W;YGL234W:CHC1:ATG1:AMS1:RSM23:SCY1:HSF1:SMI1:OCA5:NMD2:CDC12:BZZ1:FUR1:HXT8:CBP1:UTP10:HCA4:TMA22:RSF2:nan:VPS1:NUP133:GPI13:SPA2:SPT8:REA1:CCW12:SEC10:OST6:SPT21:VNX1:KRI1:MON2:KEX2:YGP1:FAP1:NOG2:FRE7:GRE2:nan:nan:GLO4:FAA1:FRE5:GAL4:PCL8:GIP3:MOT1:PDR12:SMK1:PRP4:SEC23	True
P3	B08	-0.04736732516747502	-0.003123270134209273	0.07768301071522513	0.12909517457522898	-0.05282849787294412	-0.008923482626238488	0.027049550821764943	0.07641832726750211	P3B08	No	diploid	R0020C:R0020C:GEM1:MEC1:PHO87:nan:RPO21:CCC2:ITR1:BNR1:MND2:YPS6:SIT1:GLN3:nan:nan:SKI8:SKI8:ROG1:PFK1:ERV29:NMD2:STE12:HXT5:nan:RSF2:LOS1:nan:nan:RAD5:HAP1:VRP1:CRN1:YRF1-4:MSN2:NAM7:AIP1:LCB1:CAF120:ATG4:ALG9:THO2:COG5:IRA2:RCL1:PNS1:nan:ELP3:YTA6	True
P3	B09	-0.03952454618689257	-0.020703942711345232	0.09955481755095777		-0.06457736824262474	0.01932811393060967	0.08125877889003846		P3B09	blank	blank		False
P3	B10	-0.03851938933195367	-0.02671791888787241	0.18417549027063315	0.2618601266970221	-0.06278366643573349	0.13420611102179802	0.1415155885063688	0.1636365854062256	P3B10	No	diploid	R0020C:SEF1:AGP2:IRA1:ELO2:nan:HO:TIM22:MKC7:nan:SVF1:SIM1:nan:FLO11:URA3:VAC8:FCY21:TOG1:nan:nan:nan:nan:MDS3:AMS1:SCM4:ASN2:CBF2:nan:SLH1:TDA3:PHO12:GZF3:BCK1:ACF4:PCK1:BAS1:nan:nan:nan:YLL002W;YLL002W:nan:CCW12:CCW12:ACE2:SPO77:EAR1:ZDS1:ATP11:POL2:RAS2:nan:nan:INP54:MDM38:NOB1:YOR128C;YOR128C:MTR10:MYO2:ATF1:NEW1:PPQ1:DAP1:REV3:FRK1:ISU1:VTC3:ANT1	True
